label,metric,probability,timestamp
calm,awareness,0.30724937687490067,1697678657974
calm,awareness,0.3281868891944328,1697678658996
calm,awareness,0.18558138938516963,1697678659970
calm,awareness,0.15931606488255767,1697678660964
calm,awareness,0.06695610331568545,1697678661961
calm,awareness,0.05175627823776649,1697678662850
calm,awareness,0.09299960150819422,1697678663859
calm,awareness,0.08099454487354416,1697678664847
calm,awareness,0.19183032642537964,1697678665845
calm,awareness,0.34389461197057614,1697678666848
calm,awareness,0.45446216072702555,1697678667836
calm,awareness,0.21572247709065062,1697678668726
calm,awareness,0.29061673379104364,1697678669722
calm,awareness,0.21655162513122056,1697678670717
calm,awareness,0.27480901741571434,1697678671723
calm,awareness,0.3270078974945378,1697678672713
calm,awareness,0.3399687118682843,1697678673600
calm,awareness,0.3260503457773139,1697678674598
calm,awareness,0.21771727069202473,1697678675598
calm,awareness,0.33023398700048345,1697678676590
calm,awareness,0.2389387802617114,1697678677595
calm,awareness,0.2937043853276735,1697678678495
calm,awareness,0.3253729379595462,1697678679474
calm,awareness,0.3973134968643623,1697678680470
calm,awareness,0.2858139763749224,1697678681463
calm,awareness,0.37489467469631765,1697678682463
calm,awareness,0.33294694395347596,1697678683465
calm,awareness,0.34320629387220297,1697678684354
calm,awareness,0.29596397700333077,1697678685349
calm,awareness,0.18108536064934952,1697678686342
calm,awareness,0.3484538222578092,1697678687338
calm,awareness,0.27787415176182856,1697678688345
calm,awareness,0.1598586248611766,1697678689237
calm,awareness,0.28519212027038315,1697678690225
calm,awareness,0.35812215360021543,1697678691220
calm,awareness,0.37563876019771686,1697678692218
calm,awareness,0.21044397805250006,1697678693211
calm,awareness,0.24340104481801944,1697678694134
calm,awareness,0.17097789477146647,1697678695100
calm,awareness,0.3318695488571086,1697678696100
calm,awareness,0.22436086285036516,1697678697090
calm,awareness,0.22937669545845826,1697678698090
calm,awareness,0.3047173766808645,1697678699092
calm,awareness,0.20201627141852202,1697678699973
calm,awareness,0.2662277256700588,1697678700972
calm,awareness,0.3198494209511836,1697678701972
calm,awareness,0.18909167938728128,1697678702963
calm,awareness,0.34850895982942587,1697678703974
calm,awareness,0.42426591872474007,1697678704852
calm,awareness,0.0626535631373462,1697678705847
calm,awareness,0.12213188977959995,1697678706856
calm,awareness,0.19377811687779872,1697678707839
calm,awareness,0.10698030730267703,1697678708837
calm,awareness,0.20881519843968926,1697678709746
calm,awareness,0.22255793710773306,1697678710720
calm,awareness,0.10182950114978612,1697678711720
calm,awareness,0.1283828510799394,1697678712714
calm,awareness,0.10811631525169829,1697678713717
calm,awareness,0.30297157796972934,1697678714716
calm,awareness,0.09079314380003753,1697678715600
calm,awareness,0.0884157920103488,1697678716594
calm,awareness,0.08791917566381374,1697678717598
calm,awareness,0.42261543165024534,1697678718591
calm,awareness,0.2752628724363192,1697678719590
calm,awareness,0.34057637661411366,1697678720471
calm,awareness,0.42773476426532825,1697678721471
calm,awareness,0.0774156597801796,1697678722471
calm,awareness,0.11836492515483497,1697678723464
