acceleration,inclination,orientation,pitch,roll,timestamp,x,y,z
1.11,-90.77,-1,-0.62,-53.37,1705701095268,-0.01,-0.89,-0.66
1.12,-90.25,-1,-0.21,-53.75,1705701095529,0,-0.9,-0.66
1.12,-90.51,-1,-0.41,-53.74,1705701095534,-0.01,-0.9,-0.66
1.1,-91.81,-1,-1.46,-53.56,1705701095629,-0.03,-0.88,-0.65
1.09,-91.05,-1,-0.84,-53.33,1705701095646,-0.02,-0.88,-0.65
1.1,-91.05,-1,-0.83,-52.5,1705701095927,-0.02,-0.88,-0.67
1.14,-90.76,-1,-0.6,-52.56,1705701095938,-0.01,-0.9,-0.69
1.09,-91.06,-1,-0.84,-53.08,1705701096002,-0.02,-0.87,-0.65
1.11,-90.51,-1,-0.41,-53.91,1705701096047,-0.01,-0.9,-0.66
1.1,-90.52,-1,-0.42,-52.67,1705701096147,-0.01,-0.88,-0.67
1.1,-90.52,-1,-0.42,-53.25,1705701096247,-0.01,-0.88,-0.66
1.11,-90.77,-1,-0.62,-53.95,1705701096347,-0.01,-0.9,-0.65
1.1,-90,-1,0,-53.76,1705701096485,0,-0.88,-0.65
1.1,-91.04,-1,-0.83,-53.25,1705701096547,-0.02,-0.88,-0.66
1.1,-90,-1,0,-52.96,1705701096647,0,-0.88,-0.66
1.11,-90.52,-1,-0.41,-52.88,1705701096855,-0.01,-0.89,-0.67
1.1,-90.26,-1,-0.21,-53.25,1705701096857,0,-0.88,-0.66
1.1,-90.78,-1,-0.63,-52.83,1705701096968,-0.01,-0.88,-0.66
1.1,-90.52,-1,-0.42,-53.71,1705701097047,-0.01,-0.89,-0.65
1.12,-90.76,-1,-0.61,-53.41,1705701097147,-0.01,-0.9,-0.67
1.1,-90,-1,0,-53.42,1705701097247,0,-0.88,-0.66
1.11,-89.74,1,0.21,-53.67,1705701097348,0,-0.89,-0.66
1.1,-91.03,-1,-0.83,-53.87,1705701097464,-0.02,-0.89,-0.65
1.11,-90.26,-1,-0.21,-53.21,1705701097548,0,-0.89,-0.66
1.09,-92.1,-1,-1.69,-53.35,1705701097648,-0.03,-0.87,-0.65
1.11,-90,-1,0,-53.91,1705701097861,0,-0.9,-0.66
1.12,-89.49,1,0.41,-54.03,1705701097863,0.01,-0.9,-0.66
1.11,-90,-1,0,-53.21,1705701097970,0,-0.89,-0.66
1.11,-92.06,-1,-1.66,-53.35,1705701098048,-0.03,-0.89,-0.66
1.12,-92.57,-1,-2.06,-53.12,1705701098148,-0.04,-0.89,-0.67
1.09,-89.48,1,0.42,-53.17,1705701098248,0.01,-0.88,-0.66
1.09,-91.56,-1,-1.26,-53.91,1705701098348,-0.02,-0.88,-0.64
1.11,-90,-1,0,-53.38,1705701098466,0,-0.89,-0.66
1.1,-88.95,1,0.84,-53,1705701098549,0.02,-0.88,-0.66
1.1,-90,-1,0,-52.8,1705701098649,0,-0.88,-0.67
1.1,-89.22,1,0.63,-53,1705701098854,0.01,-0.88,-0.66
1.1,-89.23,1,0.63,-53.88,1705701098855,0.01,-0.89,-0.65
1.1,-89.48,1,0.42,-53,1705701098966,0.01,-0.88,-0.66
1.1,-90,-1,0,-52.96,1705701099049,0,-0.88,-0.66
1.1,-90,-1,0,-54.17,1705701099149,0,-0.89,-0.64
1.11,-90.77,-1,-0.62,-53.37,1705701099249,-0.01,-0.89,-0.66
1.11,-88.72,1,1.04,-54.11,1705701099349,0.02,-0.9,-0.65
1.1,-90,-1,0,-53.42,1705701099463,0,-0.88,-0.66
1.1,-89.74,1,0.21,-53.42,1705701099550,0,-0.88,-0.66
1.09,-89.47,1,0.42,-52.75,1705701099650,0.01,-0.87,-0.66
1.12,-90.26,-1,-0.21,-53.01,1705701099849,0,-0.89,-0.67
1.12,-90.25,-1,-0.2,-53.42,1705701099851,0,-0.9,-0.67
1.11,-90.26,-1,-0.21,-52.92,1705701099966,0,-0.88,-0.67
1.11,-89.49,1,0.41,-53.5,1705701100050,0.01,-0.89,-0.66
1.12,-90,-1,0,-53.42,1705701100150,0,-0.9,-0.67
1.11,-90,-1,0,-53.34,1705701100296,0,-0.89,-0.66
1.11,-90.26,-1,-0.21,-53.09,1705701100350,0,-0.88,-0.66
1.1,-90.26,-1,-0.21,-52.96,1705701100480,0,-0.88,-0.66
1.11,-89.48,1,0.41,-53.21,1705701100551,0.01,-0.89,-0.66
1.1,-89.74,1,0.21,-52.67,1705701100650,0,-0.88,-0.67
1.11,-90.26,-1,-0.21,-53.62,1705701100867,0,-0.9,-0.66
1.1,-90.26,-1,-0.21,-53.88,1705701100869,0,-0.89,-0.65
1.11,-90,-1,0,-53.62,1705701101057,0,-0.9,-0.66
1.1,-90,-1,0,-53.71,1705701101058,0,-0.89,-0.65
1.11,-90,-1,0,-54.08,1705701101165,0,-0.9,-0.65
1.1,-90.26,-1,-0.21,-53.59,1705701101251,0,-0.88,-0.65
1.09,-90.26,-1,-0.21,-53.17,1705701101351,0,-0.88,-0.66
1.09,-90.26,-1,-0.21,-53.63,1705701101478,0,-0.88,-0.65
1.1,-90.52,-1,-0.42,-53.46,1705701101554,-0.01,-0.88,-0.65
1.11,-89.74,1,0.21,-53.34,1705701101748,0,-0.89,-0.66
1.1,-89.48,1,0.42,-53.54,1705701101752,0.01,-0.89,-0.66
1.1,-90.52,-1,-0.42,-53.54,1705701101851,-0.01,-0.89,-0.66
1.11,-90.26,-1,-0.21,-53.34,1705701101966,0,-0.89,-0.66
1.1,-90.52,-1,-0.42,-53.25,1705701102051,-0.01,-0.88,-0.66
1.1,-89.74,1,0.21,-53.46,1705701102152,0,-0.88,-0.65
1.1,-90,-1,0,-53.42,1705701102251,0,-0.88,-0.66
1.1,-90,-1,0,-53.46,1705701102352,0,-0.88,-0.65
1.1,-90,-1,0,-53.25,1705701102466,0,-0.88,-0.66
1.11,-89.74,1,0.21,-53.38,1705701102552,0,-0.89,-0.66
1.09,-90.8,-1,-0.63,-52.12,1705701102752,-0.01,-0.86,-0.67
1.11,-90,-1,0,-53.62,1705701102998,0,-0.9,-0.66
1.07,-90.26,-1,-0.21,-54.88,1705701103054,0,-0.88,-0.62
1.11,-90,-1,0,-53.21,1705701103152,0,-0.89,-0.66
1.11,-90.77,-1,-0.62,-53.17,1705701103252,-0.01,-0.89,-0.67
1.11,-89.74,1,0.21,-53.21,1705701103352,0,-0.89,-0.66
1.11,-90.77,-1,-0.62,-53.21,1705701103465,-0.01,-0.89,-0.66
1.12,-89.74,1,0.21,-53.29,1705701103552,0,-0.9,-0.67
1.1,-90.77,-1,-0.62,-53.71,1705701103724,-0.01,-0.89,-0.65
1.11,-90.52,-1,-0.41,-53.38,1705701103753,-0.01,-0.89,-0.66
1.11,-90,-1,0,-53.38,1705701103853,0,-0.89,-0.66
1.1,-89.74,1,0.21,-53.13,1705701103966,0,-0.88,-0.66
1.1,-90.26,-1,-0.21,-53.42,1705701104053,0,-0.88,-0.66
1.1,-90.26,-1,-0.21,-53.13,1705701104153,0,-0.88,-0.66
1.1,-90.26,-1,-0.21,-53.42,1705701104253,0,-0.88,-0.66
1.11,-90.26,-1,-0.21,-53.38,1705701104353,0,-0.89,-0.66
1.1,-90,-1,0,-53.84,1705701104466,0,-0.89,-0.65
1.1,-90.77,-1,-0.63,-53.88,1705701104553,-0.01,-0.89,-0.65
1.11,-90.26,-1,-0.21,-53.96,1705701104719,0,-0.9,-0.65
1.11,-90.26,-1,-0.21,-53.21,1705701104753,0,-0.89,-0.66
1.11,-90.52,-1,-0.41,-53.38,1705701104853,-0.01,-0.89,-0.66
1.1,-90.77,-1,-0.62,-53.83,1705701104964,-0.01,-0.89,-0.65
1.1,-89.48,1,0.42,-53.25,1705701105054,0.01,-0.88,-0.66
1.11,-90.26,-1,-0.21,-53.67,1705701105154,0,-0.89,-0.66
1.11,-90.25,-1,-0.21,-54.08,1705701105295,0,-0.9,-0.65
1.1,-90.52,-1,-0.42,-53.25,1705701105354,-0.01,-0.88,-0.66
1.11,-90.26,-1,-0.21,-53.05,1705701105469,0,-0.89,-0.67
1.11,-90,-1,0,-53.34,1705701105554,0,-0.89,-0.66
1.11,-90,-1,0,-53.34,1705701105731,0,-0.89,-0.66
1.11,-91.03,-1,-0.83,-53.37,1705701105754,-0.02,-0.89,-0.66
1.1,-90,-1,0,-53.42,1705701105854,0,-0.88,-0.66
1.1,-89.74,1,0.21,-53.46,1705701105980,0,-0.88,-0.65
1.1,-90,-1,0,-53.3,1705701106055,0,-0.88,-0.66
1.1,-90,-1,0,-53.25,1705701106155,0,-0.88,-0.66
1.12,-90,-1,0,-54.03,1705701106255,0,-0.9,-0.66
1.11,-90,-1,0,-53.96,1705701106355,0,-0.9,-0.65
1.1,-89.74,1,0.21,-54.29,1705701106603,0,-0.9,-0.64
1.1,-89.48,1,0.42,-53.88,1705701106604,0.01,-0.89,-0.65
1.11,-90.25,-1,-0.21,-54.2,1705701106655,0,-0.9,-0.65
1.11,-89.75,1,0.21,-54.08,1705701106755,0,-0.9,-0.65
1.1,-90,-1,0,-53.55,1705701106855,0,-0.89,-0.66
1.1,-88.96,1,0.83,-53.25,1705701106967,0.02,-0.88,-0.66
1.11,-90,-1,0,-54.25,1705701107055,0,-0.9,-0.65
1.1,-88.97,1,0.83,-53.99,1705701107155,0.02,-0.89,-0.65
1.1,-90.77,-1,-0.62,-54.29,1705701107255,-0.01,-0.9,-0.64
1.11,-89.74,1,0.21,-54.12,1705701107355,0,-0.9,-0.65
1.1,-90.76,-1,-0.62,-54.58,1705701107601,-0.01,-0.9,-0.64
1.1,-90.26,-1,-0.21,-53.88,1705701107602,0,-0.89,-0.65
