unixTimestamp,CP3_value,CP3_status,C3_value,C3_status,F5_value,F5_status,PO3_value,PO3_status,PO4_value,PO4_status,F6_value,F6_status,C4_value,C4_status,CP4_value,CP4_status
1705701095183,12.24,good,11.86,good,14.76,good,9.02,great,11.73,good,21.1,bad,17.46,bad,14.79,good
1705701095184,12.24,good,11.86,good,14.76,good,9.02,great,11.73,good,21.1,bad,17.46,bad,14.79,good
1705701095210,10.51,good,8.52,great,7.89,great,12.61,good,15.11,bad,18.26,bad,13.71,good,13.42,good
1705701095638,2.41,great,5.04,great,2.99,great,6.73,great,9.42,great,2.99,great,3.16,great,2.47,great
1705701095910,3.15,great,3.05,great,3.55,great,3.7,great,3.89,great,5.18,great,4.8,great,4.51,great
1705701095998,3.7,great,4.94,great,2.82,great,4.89,great,5.15,great,5.88,great,5.86,great,5.34,great
1705701096233,6.83,great,8.23,great,5.28,great,5,great,7,great,9.96,great,8.24,great,6.54,great
1705701096483,6.2,great,6.7,great,4.92,great,5.05,great,6.48,great,14.18,good,13.19,good,9.24,great
1705701096857,4.79,great,6.74,great,4.42,great,7.58,great,7.24,great,13.29,good,10.85,good,8.78,great
1705701096965,5.55,great,2.83,great,3.19,great,13.6,good,6.48,great,8.98,great,7.82,great,8.52,great
1705701097207,4.6,great,5.71,great,4.12,great,10.72,good,5.68,great,7.68,great,6.35,great,7.22,great
1705701097460,5.88,great,4.5,great,6.42,great,11.01,good,6.81,great,9.85,great,9.61,great,7.29,great
1705701097871,4.39,great,3.52,great,8.33,great,9.44,great,7.16,great,8.36,great,4.16,great,5.27,great
1705701097979,3.85,great,3.09,great,3.55,great,2.83,great,9.97,great,3.99,great,3.1,great,4.6,great
1705701098212,2.74,great,3.53,great,4.32,great,7.45,great,19.71,bad,4.22,great,3.89,great,3.26,great
1705701098473,2.34,great,6.62,great,4.65,great,8.86,great,14.94,good,3.87,great,4.72,great,4.26,great
1705701098856,2.49,great,3.24,great,3.4,great,5.01,great,5.28,great,3.63,great,3.96,great,2.95,great
1705701098961,2.79,great,1.8,great,3.06,great,5.71,great,5.72,great,2.61,great,2.32,great,2.74,great
1705701099206,2.38,great,3.65,great,2.37,great,3.06,great,4.1,great,4.93,great,4.05,great,3.04,great
1705701099464,2.6,great,3.62,great,2.7,great,4.09,great,4.54,great,4.36,great,3.52,great,3.31,great
1705701099848,4.18,great,3.2,great,3.63,great,3.16,great,3.68,great,3.62,great,3.33,great,3.75,great
1705701099960,3.43,great,4.76,great,2.92,great,4,great,3.22,great,3.96,great,3.78,great,3.73,great
1705701100215,3.75,great,3,great,2.14,great,3.14,great,2,great,2.46,great,3.09,great,3.17,great
1705701100478,2.33,great,5,great,3.15,great,4.17,great,2.62,great,3.28,great,4.11,great,3.02,great
1705701100865,3.23,great,5.04,great,3.38,great,4.98,great,4.81,great,3.91,great,3.82,great,4.01,great
1705701101060,3.86,great,2.54,great,2.06,great,12.3,good,2.55,great,3.78,great,4.04,great,2.26,great
1705701101215,2.75,great,2.17,great,3.21,great,7.82,great,2.79,great,4.24,great,4.67,great,2.61,great
1705701101474,3.6,great,5.38,great,3.51,great,4.57,great,2.57,great,3.36,great,3.31,great,3.32,great
1705701101750,4.4,great,3.84,great,4.2,great,7.55,great,4.76,great,5.98,great,5.49,great,4.98,great
1705701101966,4.11,great,4.68,great,1.89,great,5.19,great,4.53,great,3.25,great,3.69,great,3.58,great
1705701102210,4.69,great,3.97,great,3.24,great,5.89,great,5.72,great,4.42,great,4.95,great,5.2,great
1705701102478,3.16,great,7.81,great,2.11,great,3.07,great,3.12,great,4.12,great,4.46,great,4.28,great
1705701102735,1.79,great,4.03,great,2.09,great,6.12,great,3.87,great,3.09,great,3.07,great,3.8,great
1705701103001,2.14,great,2.74,great,2.7,great,3.27,great,4.54,great,4.2,great,3.16,great,3.15,great
1705701103210,4.78,great,3.81,great,2.46,great,5.89,great,5.88,great,4.67,great,3.68,great,4.09,great
1705701103472,3.86,great,2.76,great,2.11,great,4.69,great,2.67,great,3.84,great,3.7,great,4.1,great
1705701103732,2.78,great,2.69,great,2.18,great,6.53,great,5,great,4.34,great,3.97,great,3.2,great
1705701103963,2.45,great,8.41,great,3.22,great,3.88,great,2.6,great,4,great,3.41,great,4.02,great
1705701104212,3.11,great,3.29,great,3,great,8.59,great,2.01,great,3.08,great,3.04,great,2.22,great
1705701104461,2.09,great,4.02,great,2.96,great,4.18,great,3.25,great,3.16,great,2.23,great,2.5,great
1705701104722,3.7,great,7.83,great,2.94,great,3.97,great,3.27,great,3.33,great,3.17,great,2.39,great
1705701104964,4.61,great,9.28,great,4.49,great,10.59,good,8.11,great,6.78,great,8.39,great,7.48,great
1705701105210,3.61,great,5.12,great,1.88,great,18.45,bad,7.29,great,4.23,great,3.91,great,3.83,great
1705701105465,1.62,great,5.58,great,4.05,great,13.82,good,3.63,great,4.64,great,4.19,great,4.01,great
1705701105745,3.86,great,9.36,great,3.68,great,7.71,great,4.11,great,4.17,great,5.52,great,4.47,great
1705701105984,2.28,great,5.97,great,2.18,great,3.72,great,2.76,great,3.85,great,3.98,great,3.23,great
1705701106292,3.54,great,5.8,great,3.66,great,3.33,great,5.53,great,4.92,great,4.85,great,3.87,great
1705701106607,5.07,great,13.33,good,2.26,great,6.04,great,6.67,great,6.15,great,6.27,great,5.79,great
1705701106717,7.49,great,4.62,great,10.37,good,14.91,good,9.94,great,6.91,great,8.55,great,12.3,good
1705701106968,5.24,great,6.06,great,7.14,great,10.79,good,7.09,great,4.72,great,5.73,great,7.59,great
1705701107215,4.96,great,8.53,great,2.87,great,6.89,great,7.48,great,3.89,great,4.03,great,4.43,great
1705701107606,2.2,great,4.55,great,1.99,great,2.79,great,5.33,great,3.78,great,2.93,great,2.39,great
1705701107723,3.63,great,4.18,great,3.99,great,4.05,great,4.45,great,5.19,great,6.42,great,4.32,great
1705701107996,2.78,great,4.88,great,3.11,great,5.87,great,9.52,great,3.74,great,4.31,great,3.51,great
1705701108229,2.43,great,4.2,great,2.89,great,3.51,great,6.34,great,3.67,great,2.69,great,3.19,great
1705701108617,3.61,great,3.38,great,2.57,great,5.21,great,8.35,great,3.62,great,3.52,great,4.91,great
1705701108782,2.86,great,4.17,great,1.95,great,5.05,great,2.48,great,3.08,great,3.36,great,3.17,great
1705701108964,3.53,great,5.3,great,2.31,great,3.83,great,4.11,great,3.56,great,3.47,great,3.43,great
1705701109212,2.2,great,2.16,great,2.74,great,4.31,great,4.07,great,4.67,great,3.27,great,2.43,great
1705701109615,2.11,great,5.62,great,1.74,great,3.21,great,3.34,great,2.81,great,3.19,great,3.3,great
1705701109710,3.3,great,3.73,great,2.48,great,2.44,great,2.21,great,4.41,great,3.59,great,2.27,great
1705701109961,3.28,great,2.66,great,2.52,great,2.9,great,4.04,great,4.22,great,3.87,great,3.11,great
1705701110233,1.86,great,2.95,great,1.93,great,3.8,great,4.26,great,3.22,great,4.08,great,3.25,great
1705701110610,1.58,great,4.06,great,2.12,great,4.66,great,3.65,great,3.5,great,3.12,great,3.67,great
1705701110719,2.15,great,2.81,great,2.66,great,3.84,great,4.87,great,3.79,great,3.01,great,3.83,great
1705701110981,3.57,great,5.73,great,2.42,great,2.9,great,2.46,great,4.55,great,4.47,great,2.5,great
1705701111249,3.06,great,4.21,great,2.38,great,3.78,great,3.37,great,2.68,great,2.96,great,2.92,great
1705701111505,3.1,great,5.8,great,2.81,great,3.15,great,3.2,great,2.03,great,2.42,great,2.72,great
1705701111710,3.74,great,4.06,great,2.89,great,3.61,great,3.53,great,4.11,great,5.25,great,4.78,great
1705701111962,3.34,great,3.76,great,3,great,4.9,great,3.03,great,4.87,great,3.5,great,4.49,great
1705701112211,3.04,great,3.82,great,2.01,great,4.38,great,8.13,great,3.04,great,2.4,great,3.02,great
1705701112491,2.88,great,4.4,great,4.38,great,5.28,great,8.61,great,4.27,great,3.57,great,2.54,great
1705701112718,4.43,great,9.19,great,6.87,great,5.42,great,5.6,great,5.01,great,6.67,great,4.28,great
1705701112967,3.72,great,10.23,good,9.75,great,13.35,good,11.78,good,4.87,great,9.21,great,2.9,great
1705701113214,12.63,good,17.02,bad,11.55,good,99.87,bad,32.36,bad,9.54,great,24.83,bad,11.16,good
1705701113482,10.36,good,15.86,bad,10.35,good,30.47,bad,21.17,bad,15.61,bad,112.18,bad,8.56,great
1705701113708,8.24,great,22.01,bad,13.88,good,74.9,bad,14.61,good,17.19,bad,65.79,bad,8.83,great
1705701113969,7.14,great,32.32,bad,16.7,bad,62.99,bad,15.12,bad,26.74,bad,33.06,bad,6.83,great
1705701114212,3.48,great,56.72,bad,13.98,good,27.06,bad,28.37,bad,25.07,bad,11.65,good,4.59,great
1705701114499,3.92,great,36.04,bad,5.7,great,12.94,good,13.88,good,10.53,good,8.2,great,3.71,great
1705701114713,5.25,great,24.95,bad,10.83,good,79.37,bad,32.71,bad,8.41,great,82.8,bad,4.93,great
1705701114961,5.6,great,25.06,bad,12.64,good,83.85,bad,28.87,bad,11.95,good,58.1,bad,5.57,great
1705701115212,3.6,great,7.78,great,9.02,great,15.9,bad,53.54,bad,4.67,great,26.74,bad,3.59,great
1705701115505,2.46,great,22.53,bad,2.85,great,116.52,bad,60.89,bad,4.79,great,61.97,bad,5.07,great
1705701115711,3.86,great,27.6,bad,12.03,good,19.15,bad,17.06,bad,4.55,great,10.56,good,3.37,great
1705701115992,2.04,great,13.14,good,12.96,good,40.86,bad,14.99,good,16.14,bad,13.52,good,3.43,great
1705701116228,4.73,great,13,good,8.39,great,17.26,bad,6.77,great,27.85,bad,13.52,good,4.54,great
1705701116569,4.06,great,5.77,great,17.45,bad,11.3,good,7.53,great,7.62,great,7.19,great,4,great
1705701116714,2.17,great,9.86,great,6.39,great,6.67,great,2.8,great,6.89,great,4.85,great,2.89,great
1705701116968,3.49,great,15.77,bad,5.05,great,11.26,good,3.92,great,4.38,great,5.89,great,3.92,great
1705701117354,2.89,great,3.21,great,2.95,great,6.55,great,3,great,2.87,great,4.31,great,2.88,great
1705701117471,2.82,great,7.38,great,14.54,good,7.19,great,7.28,great,9.61,great,32.14,bad,3.96,great
1705701117850,3.4,great,7.98,great,14.33,good,8.87,great,5.17,great,5.61,great,13.08,good,2.62,great
1705701117975,3.91,great,3.31,great,6.95,great,6.25,great,4.47,great,2.74,great,11.62,good,3.81,great
1705701118351,4.14,great,10.08,good,4.62,great,7.38,great,11.38,good,4.92,great,7.16,great,5.05,great
1705701118474,3.83,great,2.87,great,2.6,great,5.25,great,9.19,great,3.09,great,6.11,great,3.91,great
1705701118713,3.03,great,4.29,great,4.21,great,3.75,great,3.6,great,4.84,great,6.99,great,2.79,great
1705701118961,3.35,great,4.31,great,4.73,great,9,great,4.96,great,5.13,great,5.65,great,4.38,great
1705701119354,4.18,great,3.42,great,5.13,great,4.63,great,3.12,great,4.52,great,3.79,great,4.22,great
1705701119469,3.19,great,5.3,great,3.82,great,11.29,good,2.94,great,4.4,great,3.86,great,3.49,great
1705701119712,2.23,great,8.2,great,2.21,great,12.95,good,4.55,great,2.92,great,4.7,great,3.28,great
1705701119973,2.93,great,4.17,great,3.89,great,15.57,bad,5.43,great,3.19,great,2.86,great,2.23,great
1705701120426,2.7,great,3.28,great,3.12,great,13.1,good,4.02,great,4.02,great,4.09,great,2.87,great
1705701120524,3.89,great,4.53,great,3.89,great,12.19,good,5.19,great,4.74,great,6.76,great,4.69,great
1705701120716,5.53,great,5.08,great,4.4,great,10,great,4.03,great,3.91,great,5.05,great,5.71,great
1705701120979,4.14,great,4.09,great,3.64,great,11.08,good,5.33,great,3.42,great,4.94,great,5.46,great
1705701121426,3.52,great,2.87,great,3.07,great,6.59,great,6.92,great,4.78,great,5.64,great,3.46,great
1705701121474,3.66,great,4.13,great,2.96,great,12.33,good,11.63,good,4.33,great,4.35,great,3.18,great
1705701121715,2.83,great,4.95,great,3.09,great,13.14,good,9.97,great,4.08,great,3.85,great,2.85,great
1705701121973,2.48,great,4.91,great,3.14,great,14.54,good,4.07,great,2.67,great,2.61,great,2.59,great
1705701122234,3.6,great,3.39,great,3.31,great,15.71,bad,4.02,great,3.19,great,5.08,great,4.64,great
1705701122460,3.43,great,4.65,great,2.77,great,10.55,good,5.08,great,5.11,great,3.86,great,3.99,great
1705701122774,2.31,great,4.69,great,2.25,great,4.67,great,3.92,great,2.34,great,3.47,great,3.96,great
1705701122970,2.63,great,7.63,great,3.13,great,3.79,great,3.79,great,3.04,great,3.86,great,3.31,great
1705701123268,6.4,great,9.58,great,5.56,great,6.74,great,7.32,great,5.58,great,7.57,great,6.63,great
1705701123465,3.68,great,4.16,great,4.04,great,10.51,good,5.12,great,5.33,great,3.21,great,3.32,great
1705701123720,3.03,great,7.95,great,6.72,great,63.68,bad,3.74,great,5.4,great,3.39,great,4.03,great
1705701123970,3.48,great,4.43,great,3.46,great,141.88,bad,9.62,great,6.99,great,26.35,bad,3.86,great
1705701124221,4.6,great,4.93,great,11.5,good,74.96,bad,7.66,great,12.25,good,11.7,good,5.97,great
1705701124464,4.38,great,14.09,good,7.63,great,67.76,bad,15.34,bad,7.89,great,19.08,bad,4.86,great
1705701124725,4.43,great,4.82,great,12.6,good,57.23,bad,24.75,bad,12.81,good,110.53,bad,7.19,great
1705701124966,10.47,good,24.26,bad,14.29,good,44.17,bad,55.95,bad,7.99,great,92.9,bad,11.86,good
1705701125238,9.05,great,39.91,bad,10.31,good,99.25,bad,26.84,bad,53.87,bad,45.29,bad,9.34,great
1705701126039,5.49,great,16.03,bad,9.05,great,148.37,bad,33.95,bad,63.05,bad,16.11,bad,3.58,great
1705701126061,8.37,great,47.99,bad,22.36,bad,168,bad,28.56,bad,45.04,bad,24.55,bad,8.61,great
1705701126080,4.24,great,27.95,bad,11.22,good,125.98,bad,22.98,bad,14.46,good,10.04,good,4.59,great
1705701126278,3.35,great,17.8,bad,27.14,bad,55,bad,15.52,bad,9.31,great,24.14,bad,3.67,great
1705701126483,3.58,great,12.81,good,20.94,bad,58.84,bad,36.38,bad,8.59,great,21.43,bad,4.79,great
1705701126725,3.15,great,24.25,bad,6.13,great,9.1,great,11.2,good,4.91,great,23.2,bad,3.92,great
1705701127107,3.03,great,19.38,bad,5.86,great,20.57,bad,8.77,great,6.19,great,14.4,good,3.92,great
1705701127219,2.5,great,13.35,good,2.9,great,23.91,bad,6.46,great,4.36,great,7.01,great,2.77,great
1705701127469,3.29,great,12.02,good,5.07,great,8.33,great,6.33,great,4.14,great,4.45,great,3.74,great
1705701127756,3.55,great,17.33,bad,4.08,great,17.98,bad,5.7,great,3.37,great,3.66,great,3.17,great
1705701128106,3.17,great,13.67,good,3.32,great,4.79,great,5.07,great,6.17,great,6.61,great,3.6,great
1705701128209,2.66,great,10.97,good,3.36,great,9.71,great,3.58,great,10.44,good,7.67,great,3.78,great
1705701128464,2.96,great,13.04,good,4.08,great,6.28,great,4.13,great,4.76,great,5.2,great,3.8,great
1705701128712,3.76,great,11.86,good,2.9,great,5.17,great,7.62,great,5.54,great,5.84,great,6.23,great
1705701129106,3.77,great,10.99,good,4.72,great,14.29,good,7.44,great,7.77,great,10.17,good,5.13,great
1705701129226,3.83,great,15.68,bad,3.84,great,6.94,great,9.17,great,3.04,great,6.99,great,3.45,great
1705701129476,2.37,great,8.39,great,2.83,great,9.04,great,5.35,great,6.06,great,11.68,good,3.19,great
1705701129711,3.22,great,8.65,great,5.04,great,10.59,good,3.29,great,5.28,great,7.99,great,3.46,great
1705701130102,3.84,great,8.05,great,4.63,great,6.09,great,9.21,great,5.25,great,5,great,3.35,great
1705701130211,4.5,great,8.55,great,2.27,great,7.08,great,14.56,good,4.34,great,4.07,great,5.08,great
1705701130486,8.25,great,12.9,good,7.55,great,11.48,good,6.21,great,7.06,great,13.23,good,8.17,great
1705701130726,7.03,great,13.95,good,9.12,great,7.65,great,6.06,great,26.29,bad,15.71,bad,9.09,great
1705701131153,3.23,great,8.78,great,4.43,great,17.42,bad,9.81,great,9.78,great,11.72,good,3.85,great
1705701131244,4.37,great,9.53,great,3.58,great,9.51,great,13.5,good,5.51,great,4.89,great,4.47,great
1705701131474,2.81,great,9.95,great,3.78,great,16.15,bad,9,great,4.45,great,12.9,good,3.9,great
1705701131707,3.62,great,8.28,great,2.95,great,12.81,good,4.18,great,7.17,great,12.85,good,3.93,great
1705701132110,2.79,great,9.58,great,2.95,great,7.27,great,9.58,great,5.59,great,11,good,4.05,great
1705701132217,3.32,great,14.41,good,3.47,great,10.86,good,11.2,good,4.46,great,5.52,great,4.08,great
1705701132475,4.98,great,14.34,good,6.35,great,14.04,good,10.6,good,5.75,great,7.16,great,4.48,great
1705701132713,2.48,great,7.77,great,6.19,great,13.56,good,7.36,great,3.67,great,7.27,great,3.6,great
1705701132999,4.39,great,5.63,great,6.29,great,8.19,great,6.97,great,4.41,great,9.28,great,4.69,great
1705701133212,2.86,great,8.4,great,2.85,great,4.49,great,4.87,great,4.25,great,6.12,great,4.53,great
1705701133462,2.21,great,17.1,bad,2.67,great,5.17,great,4.29,great,4.04,great,4.69,great,4.1,great
1705701133710,2.64,great,11.37,good,2.7,great,6.27,great,2.21,great,4.74,great,4.99,great,2.5,great
1705701133990,2.47,great,9.82,great,2.77,great,8.79,great,3.5,great,5.34,great,5.16,great,2.76,great
1705701134225,4.8,great,9.21,great,4.12,great,5.31,great,2.93,great,7.39,great,5.36,great,4.46,great
1705701134462,5.04,great,12.88,good,4.97,great,6.1,great,4.44,great,6.61,great,4.57,great,5.25,great
1705701134715,3.96,great,9.69,great,6.08,great,12.56,good,7.78,great,4.84,great,5.58,great,5.06,great
1705701134986,3.19,great,8.48,great,2.91,great,10.06,good,6.8,great,4.33,great,4.59,great,4.42,great
1705701135224,2.33,great,37.99,bad,2.77,great,9,great,5.65,great,3.71,great,4.7,great,3.18,great
1705701135481,4.79,great,12.79,good,5.62,great,5.84,great,8.77,great,5.17,great,5.32,great,4.33,great
1705701135717,4.58,great,8.98,great,3.51,great,4.37,great,5.33,great,5.5,great,6.73,great,5.46,great
1705701136062,2.69,great,7.7,great,2.84,great,5.68,great,3.4,great,2.39,great,3.09,great,2.66,great
1705701136234,2.76,great,6.22,great,3.04,great,9.72,great,7.62,great,3.86,great,5.12,great,4.51,great
1705701136476,2.97,great,10.68,good,4.25,great,3.94,great,6.04,great,4.8,great,4.97,great,4.33,great
1705701136722,4.01,great,5.3,great,3.24,great,6.6,great,4.75,great,3.49,great,5.27,great,4.27,great
1705701136994,2.44,great,8.35,great,4.27,great,11.36,good,4.43,great,4.32,great,4.35,great,3.74,great
1705701137244,3.5,great,10.09,good,4.01,great,5.84,great,3.52,great,2.9,great,4.37,great,3.1,great
1705701137464,2.94,great,5.53,great,3.18,great,4.59,great,4.24,great,4.68,great,5.24,great,3.88,great
1705701137861,3.28,great,4.39,great,3.58,great,6.21,great,4.81,great,4.79,great,3.94,great,3.62,great
1705701137966,2.51,great,5.73,great,3.86,great,14.79,good,5.23,great,2.82,great,3.18,great,3.13,great
1705701138217,3.15,great,7.32,great,2.51,great,6.04,great,5.02,great,2.81,great,3.92,great,4.28,great
